TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
AXEL POLYMER,20231005,49.05,49.95,47.34,49.95,2603
SPECTRA IND.,20231005,4.05,4.26,4.05,4.05,2310
KIC METALIKS,20231005,58.11,64.50,58.11,59.76,22170
SOLID STONE ,20231005,39.90,42.80,37.26,37.82,31082
SHILP GRAVUR,20231005,128.20,129.80,126.10,127.65,45914
WHITEORG    ,20231005,7.36,7.60,7.21,7.33,33009
MFSINTRCRP  ,20231005,14.21,15.60,14.21,15.39,3665
HGIND       ,20231005,199.70,199.70,191.00,192.20,2362
HIM.FIBRES  ,20231005,12.10,12.10,12.10,12.10,2041
RAJKAMAL SYN,20231005,27.70,27.70,25.20,26.00,2727
DEEPAK SPINN,20231005,241.00,249.95,241.00,242.25,2804
LOY.TEX MILL,20231005,632.05,646.00,626.00,627.80,136
HIMAT.SEIDE ,20231005,135.60,135.60,131.70,132.30,18861
BSL LTD.    ,20231005,175.80,187.10,175.80,182.05,1407
EVERTEX     ,20231005,20.55,21.94,19.86,21.59,1700
PBM POLYTEX ,20231005,103.05,103.90,100.50,101.40,4765
ADHINATH TEX,20231005,28.35,29.17,26.51,29.17,8563
KONARK SYN. ,20231005,10.49,11.48,10.49,10.52,1188
SURYALATA SP,20231005,549.45,550.60,525.60,533.80,1216
SURYAVA SPIN,20231005,24.50,24.50,23.53,24.24,481
TT LTD.     ,20231005,91.88,95.00,80.00,92.71,5620
WELSPUN (I) ,20231005,118.55,121.70,117.60,118.00,101743
IND.ACRYLICS,20231005,12.00,14.35,12.00,14.23,2403107
CEETA IND.  ,20231005,30.00,32.00,30.00,30.00,1569
VARDHMAN POL,20231005,52.00,53.45,50.82,50.82,5011
BLACKROSE   ,20231005,145.00,145.00,141.15,142.00,8789
ST CORP     ,20231005,35.77,35.77,35.77,35.77,17984
BINNY LTD.  ,20231005,237.90,268.00,233.05,259.20,92534
RAMGOPAL POL,20231005,5.36,5.54,5.10,5.29,540
SANGAM INDIA,20231005,360.65,365.00,356.00,360.70,12792
MKVENTURES  ,20231005,1241.70,1241.90,1208.05,1224.70,722
KUSHIND     ,20231005,5.81,5.95,5.81,5.94,1416
SREECHEM RES,20231005,40.40,44.62,40.40,44.60,1500
SEASONS TEXT,20231005,13.99,13.99,13.15,13.27,6276
ZENITH FIBRE,20231005,71.34,71.34,67.55,68.03,704
BHILWARA SP.,20231005,67.77,67.77,65.00,67.74,5841
SANRHEA TECH,20231005,70.50,70.50,68.25,70.00,299
VIPPY SPIN. ,20231005,144.90,148.25,141.25,142.10,611
JAY HIND SYN,20231005,17.31,18.15,17.25,18.09,1108
RAGHUVIR SYN,20231005,111.75,115.00,111.75,112.95,6762
