TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
NSENIFTY,20231009,19539.45,19588.95,19480.5,19512.35,165094800
Nifty Next 50,20231009,44550.9,44605,44251.25,44407.1,232112845
NSE100,20231009,19462.5,19504.65,19391.75,19428.9,399284007
NIFTY200,20231009,10432.9,10454.6,10391.6,10411.75,1273375831
NSE500,20231009,17170.5,17206.85,17096.65,17127.7,2336941281
NIFTYMIDCAP50,20231009,11444.45,11459.75,11373.5,11415.65,535629427
NSEMIDCAP,20231009,39895,39987.3,39634.7,39744.65,874091824
NSESMLCAP100,20231009,12683.7,12721.9,12567.45,12609.0,541579937
Nifty50 Dividend Points,20231009,-,-,-,148.23,-
NIFTYAUTO,20231009,15891.1,15958.8,15801.85,15832.85,34478437
BANKNIFTY,20231009,44057.8,44113.2,43796.75,43886.5,162329888
NIFTYENERGY,20231009,26597.7,26605.6,26340.6,26472.95,68632156
NIFTYFINSERVICE,20231009,19698.45,19716.5,19569.6,19594.65,77670635
NIFTYFMGC,20231009,51333.7,51635.15,51188.35,51502.85,14773571
NSEIT,20231009,32216.15,32638.25,32203.55,32308.55,17409437
NIFTYMEDIA,20231009,2265,2265,2225.3,2236.85,45351618
NIFTYMETAL,20231009,6673.45,6680.95,6586.7,6647.15,68504480
NIFTYMNC,20231009,21852.4,21947.15,21796.35,21872.0,31284372
NIFTYPHARMA,20231009,15002.7,15186.6,14993.05,15103.85,13029281
NIFTYPSUBANK,20231009,5142.4,5153.6,5047.2,5057.15,329043674
NIFTYREALTY,20231009,586.6,588.65,580.9,582.85,10489617
NIFTYCONSUMPTION,20231009,8424.1,8462.1,8399.25,8435.0,41753001
NIFTYCOMMODITIES,20231009,6315.85,6319.65,6260.25,6288.4,127112331
Nifty Dividend Opportunities 50,20231009,4569.1,4595.9,4554.55,4570.65,324623090
NIFTYINFRA,20231009,6186.6,6190.35,6146.9,6170.2,122844161
NIFTYPSE,20231009,5840.95,5846.3,5783.65,5827.1,184574855
NIFTYSERVSECTOR,20231009,25082.5,25153.25,25008.55,25029.75,111020511
Nifty50 Shariah,20231009,-,-,-,4185.04,66841134
Nifty500 Shariah,20231009,-,-,-,5703.08,513471570
Nifty Low Volatility 50,20231009,-,-,-,18190.58,110747511
Nifty Alpha 50,20231009,35860.65,35904.65,35450.5,35546.25,508765981
Nifty High Beta 50,20231009,-,-,-,2859.14,563878441
Nifty100 Equal Weight,20231009,22929.3,22972.85,22807.9,22874.45,399284007
Nifty100 Liquid 15,20231009,5265.25,5274.25,5239.15,5254.45,64664322
NIFTYCPSE,20231009,3793.95,3807.4,3758.45,3792.85,131500651
Nifty50 Value 20,20231009,10356.75,10430,10334.65,10378.6,93483479
NIFTYMIDCAPLIQ15,20231009,9401.3,9411.5,9331.5,9353.95,81344721
Nifty Shariah 25,20231009,-,-,-,6737.25,70195296
INDIAVIX,20231009,10.3,11.6325,10.12,11.4,-
Nifty Growth Sectors 15,20231009,9904.15,9986.4,9892.7,9941.35,42957092
Nifty50 TR 1x Inverse,20231009,202.7,203.3,202.2,203.0,-
Nifty50 TR 2x Leverage,20231009,13900.5,13970.9,13816.65,13861.65,-
Nifty50 PR 1x Inverse,20231009,241.35,242.1,240.75,241.7,-
Nifty50 PR 2x Leverage,20231009,9783.1,9832.7,9724.15,9755.8,-
NIFTY100 Quality 30,20231009,4410.25,4440.3,4405.65,4420.1,45842903
Nifty 50 Futures Index,20231009,-,-,-,5778.34,-
NIFTY50 Equal Weight,20231009,23315.7,23398.6,23237.35,23308.25,165094800
Nifty 50 Futures TR Index,20231009,-,-,-,20885.42,-
Nifty Mahindra Group,20231009,-,-,-,21087.94,7995525
Nifty Aditya Birla Group,20231009,-,-,-,6009.95,395719448
Nifty Tata Group,20231009,-,-,-,15017.39,71135755
Nifty Tata Group 25% Cap,20231009,-,-,-,12352.63,49775913
NIFTYPVTBANK,20231009,22809.65,22847.35,22674.05,22743.2,79389843
NIFTYSMALLCAP250,20231009,12183.05,12214.75,12077.4,12116.45,975557881
NIFTYSMALLCAP50,20231009,5848.5,5865.35,5786.3,5809.35,399800784
Nifty MidSmallcap 400,20231009,13962.3,13994.95,13867.75,13896.15,1937657274
NSEMIDCAP150,20231009,14926.3,14959.75,14832.75,14861.5,962099393
Nifty Midcap Select,20231009,9050.75,9062.05,8995.85,9023.85,89546885
NIFTY LargeMidcap 250,20231009,11758.3,11783.1,11705.05,11722.6,1361383400
NIFTY SME EMERGE,20231009,-,-,-,9466.03,-
Nifty Oil & Gas,20231009,7745.5,7753.6,7688.15,7708.4,73641896
Nifty Financial Services 25/50,20231009,20383.35,20396.6,20244.05,20274.05,77670635
Nifty Healthcare Index,20231009,9443.6,9585.05,9440.65,9531.65,14990982
Nifty500 Multicap 50:25:25,20231009,11733.05,11759,11671.25,11694.05,2336941281
Nifty Microcap 250,20231009,16131.15,16146,15925,15981.5,573419915
Nifty Total Market,20231009,9635,9654.55,9591.3,9608.8,2910361196
