TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
20MICRONS,20231009, 154.50, 154.50, 154.50, 154.50, 10025, -
21STCENMGM,20231009, 19.25, 19.40, 18.85, 18.95, 4090, 3387
360ONE,20231009, 505.00, 517.25, 502.75, 514.40, 413515, 254994
3IINFOLTD,20231009, 40.20, 41.00, 38.60, 38.95, 1162910, 490801
3MINDIA,20231009, 31000.00, 31080.00, 30601.00, 30824.40, 1138, 416
3PLAND,20231009, 27.50, 27.50, 27.50, 27.50, 2884, 2884
5PAISA,20231009, 420.00, 425.60, 411.05, 416.80, 38640, 18763
63MOONS,20231009, 261.50, 261.85, 251.05, 251.35, 118767, 78003
A2ZINFRA,20231009, 9.55, 10.00, 9.25, 9.50, 201095, -
AAATECH,20231009, 58.00, 58.00, 56.05, 56.80, 12355, 6267
AAKASH,20231009, 5.90, 6.00, 5.70, 5.95, 186226, -
AAREYDRUGS,20231009, 44.85, 45.85, 42.60, 44.55, 90690, -
AARON,20231009, 250.95, 273.00, 250.95, 261.40, 4304, -
AARTECH,20231009, 171.30, 174.00, 164.50, 166.05, 6968, -
AARTIDRUGS,20231009, 518.55, 521.70, 503.25, 508.50, 127945, 59455
AARTIIND,20231009, 481.00, 482.50, 471.20, 472.20, 1254129, 598947
AARTIPHARM,20231009, 423.00, 425.00, 415.20, 416.35, 200510, 134764
AARTIPP,20231009, 300.05, 302.00, 300.05, 302.00, 2, 2
AARTISURF,20231009, 621.60, 633.70, 598.00, 605.70, 18433, 12827
AARVEEDEN,20231009, 24.00, 24.30, 23.05, 23.15, 21176, 10509
AARVI,20231009, 130.00, 132.85, 127.00, 128.90, 31603, 14120
AATMAJ,20231009, 44.20, 45.00, 44.10, 44.45, 24000, 18000
AAVAS,20231009, 1703.05, 1817.60, 1703.05, 1764.70, 469632, 294753
ABAN,20231009, 44.55, 46.70, 44.55, 45.35, 144715, 74978
ABB,20231009, 4122.10, 4122.10, 4060.00, 4099.70, 122211, 58512
ABBOTINDIA,20231009, 22970.00, 23111.70, 22800.00, 22962.55, 9485, 2860
ABCAPITAL,20231009, 180.00, 180.35, 174.60, 175.10, 2333676, 912837
ABCOTS,20231009, 103.60, 103.60, 97.00, 97.00, 20000, 16000
ABFRL,20231009, 215.20, 216.75, 213.05, 214.95, 1209789, 430675
ABINFRA,20231009, 30.00, 30.00, 30.00, 30.00, 8000, 8000
ABMINTLLTD,20231009, 35.30, 35.30, 33.55, 35.00, 339, -
ABSLAMC,20231009, 423.05, 434.55, 423.00, 432.90, 158192, 103955
ABSLLIQUID,20231009, 999.99, 1000.01, 999.99, 1000.01, 4889, 4812
ACC,20231009, 2000.05, 2001.00, 1955.50, 1964.95, 830635, 659755
ACCELYA,20231009, 1630.00, 1716.00, 1629.00, 1708.30, 116549, 43957
ACCORD,20231009, 26.60, 26.60, 26.60, 26.60, 2000, 2000
ACCURACY,20231009, 8.85, 8.85, 8.10, 8.20, 355133, -
ACE,20231009, 717.50, 727.45, 685.50, 693.05, 406342, 196213
ACEINTEG,20231009, 35.85, 35.85, 32.40, 33.40, 1286, 1033
ACI,20231009, 589.00, 639.80, 589.00, 602.25, 2466451, 473001
ACL,20231009, 97.90, 98.40, 95.95, 96.70, 9277, 6824
ADANIENSOL,20231009, 806.00, 806.00, 772.40, 778.90, 559255, 269400
ADANIENT,20231009, 2440.00, 2459.70, 2411.30, 2442.60, 1408224, 345566
ADANIGREEN,20231009, 955.00, 955.00, 935.65, 938.95, 574852, 268816
ADANIPORTS,20231009, 815.00, 818.80, 785.00, 790.05, 5994282, 1340331
ADANIPOWER,20231009, 352.30, 355.00, 339.00, 342.00, 7353001, 2975482
ADFFOODS,20231009, 208.00, 212.00, 207.95, 209.00, 71358, 36232
ADL,20231009, 76.90, 77.15, 75.45, 76.00, 1032, -
ADORWELD,20231009, 1101.00, 1128.70, 1095.00, 1107.20, 23968, 17291
ADROITINFO,20231009, 22.45, 22.65, 21.70, 21.85, 109126, 78260
ADSL,20231009, 121.85, 124.55, 119.10, 119.85, 361933, 194745
ADVANIHOTR,20231009, 97.95, 106.50, 97.20, 102.05, 941495, 391819
ADVENZYMES,20231009, 323.00, 330.90, 316.55, 326.30, 164976, 82534
AEGISCHEM,20231009, 325.00, 326.00, 321.45, 322.60, 256028, 174367
AEROFLEX,20231009, 143.00, 144.95, 142.40, 142.65, 427070, 253096
AETHER,20231009, 942.00, 982.00, 942.00, 947.25, 29572, 16306
AFFLE,20231009, 1073.00, 1082.85, 1063.20, 1067.00, 120096, 61194
AGARIND,20231009, 920.95, 930.00, 881.75, 911.10, 62395, 24251
AGARWALFT,20231009, 43.00, 44.70, 43.00, 44.70, 9000, 9000
AGI,20231009, 919.95, 933.45, 895.15, 903.25, 187714, 85284
AGNI,20231009, 24.20, 28.90, 24.20, 28.90, 105000, 80000
AGRITECH,20231009, 197.00, 197.00, 184.25, 187.90, 2891, -
AGROPHOS,20231009, 38.90, 38.90, 36.85, 37.15, 42639, 25691
AGSTRA,20231009, 61.00, 61.10, 60.20, 60.40, 164119, 96008
AGUL,20231009, 64.05, 64.05, 64.00, 64.00, 4000, 2000
AHL,20231009, 351.50, 353.95, 345.40, 346.65, 668844, 174456
AHLADA,20231009, 123.00, 137.80, 119.00, 127.05, 603981, 193795
AHLEAST,20231009, 140.95, 141.95, 135.00, 137.50, 6670, 4199
AHLUCONT,20231009, 727.80, 727.80, 692.00, 702.20, 46307, 20428
AIAENG,20231009, 3422.30, 3429.00, 3399.00, 3410.50, 43379, 33568
AIRAN,20231009, 24.30, 24.40, 23.25, 23.35, 304153, -
AIROLAM,20231009, 115.00, 115.00, 109.70, 112.80, 9156, -
AJANTPHARM,20231009, 1739.90, 1765.90, 1715.90, 1740.50, 201965, 134171
AJMERA,20231009, 388.00, 388.00, 370.80, 373.00, 74929, 31426
