TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
BANKNIFTY-I,20231006,44503,44664.55,44400.05,44510.2,126898,2505315
BANKNIFTY-II,20231006,44782.35,44935.5,44695,44789.4,3870,188085
BANKNIFTY-III,20231006,45011.55,45175,44887.35,45043.45,1246,27645
FINNIFTY-I,20231006,19829.95,19970.25,19829.95,19941.65,1763,56840
FINNIFTY-II,20231006,19959.2,20014.35,19946.1,20014.35,21,720
FINNIFTY-III,20231006,20019.5,20137.4,20019.5,20093.7,3,400
MIDCPNIFTY-I,20231006,9011,9063.35,9000.5,9051.95,2464,430950
MIDCPNIFTY-II,20231006,9005,9055,8995.85,9032.45,21,4650
MIDCPNIFTY-III,20231006,9010.95,9048.9,9010.95,9048.9,2,825
NIFTY-I,20231006,19610,19691.95,19601.1,19678.5,100542,10585750
NIFTY-II,20231006,19737.95,19804.25,19725.8,19792.15,7324,929550
NIFTY-III,20231006,19846.75,19909.95,19836.45,19900.8,1830,192050
AARTIIND-I,20231006,489.65,491.7,485.05,490.45,1976,13584000
AARTIIND-II,20231006,493.2,495,489.05,493.95,186,713000
AARTIIND-III,20231006,495,497.55,492.5,497.3,15,166000
ABB-I,20231006,4097.95,4153.4,4090.75,4140.3,1065,1330500
ABB-II,20231006,4143.1,4168.2,4133.95,4167.1,30,27750
ABB-III,20231006,4190,4190,4190,4190,1,750
ABBOTINDIA-I,20231006,22878.45,23198,22878.45,23128.95,384,75200
ABBOTINDIA-II,20231006,23120,23309.9,23120,23309.9,8,1200
ABBOTINDIA-III,20231006,0,0,0,22774.15,0,0
ABCAPITAL-I,20231006,177.35,183,176.8,182.4,2410,38977200
ABCAPITAL-II,20231006,178.5,184,178.5,183.6,73,766800
ABCAPITAL-III,20231006,0,0,0,178,0,43200
ABFRL-I,20231006,219.9,220.2,217.15,218.95,1781,28436200
ABFRL-II,20231006,217.95,219.55,217.35,219.1,169,1307800
ABFRL-III,20231006,218.65,219,218.5,219,8,31200
ACC-I,20231006,2014.05,2031,2010.2,2019.7,1565,5841600
ACC-II,20231006,2031.5,2042.95,2027.55,2032.55,47,35700
ACC-III,20231006,2044.25,2044.25,2044.25,2044.25,1,1800
ADANIENT-I,20231006,2524.9,2527.65,2482.8,2490.35,8294,9338100
ADANIENT-II,20231006,2504.45,2545.05,2503.45,2506.9,293,189300
ADANIENT-III,20231006,2561.1,2561.1,2520.05,2520.05,5,10200
ADANIPORTS-I,20231006,832.25,839.5,830.5,834.6,5384,52609600
ADANIPORTS-II,20231006,839.75,845.2,836.65,840.6,193,399200
