TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
NSENIFTY,20231005,19521.85,19576.95,19487.3,19545.75,234865323
Nifty Next 50,20231005,44759.85,44862.95,44521.75,44669.65,397441912
NSE100,20231005,19462.45,19504.35,19420.8,19476.05,634694993
NIFTY200,20231005,10446.65,10464.15,10418.8,10445.0,1238232740
NSE500,20231005,17202.25,17234,17154.3,17195.8,2478389086
NIFTYMIDCAP50,20231005,11506.3,11551.95,11437.05,11453.9,292747283
NSEMIDCAP,20231005,40246.55,40402.4,40014.05,40046.0,603537747
NSESMLCAP100,20231005,12747.45,12792.4,12681.95,12735.25,710601235
Nifty50 Dividend Points,20231005,-,-,-,148.23,-
NIFTYAUTO,20231005,15878.95,15960.7,15785.9,15916.1,30204093
BANKNIFTY,20231005,44181.35,44391.85,44108.3,44213.35,243397808
NIFTYENERGY,20231005,26843.45,26859.15,26615.55,26688.25,82570867
NIFTYFINSERVICE,20231005,19672.55,19762.75,19638.15,19678.6,108982774
NIFTYFMGC,20231005,51625.6,51654.55,51270,51384.55,22986003
NSEIT,20231005,31995,32368.45,31956.9,32125.4,21368285
NIFTYMEDIA,20231005,2264.85,2298.95,2264.6,2287.15,87483109
NIFTYMETAL,20231005,6756.6,6775.85,6699.6,6709.1,73726835
NIFTYMNC,20231005,21904.9,21926.5,21792.1,21901.65,26174645
NIFTYPHARMA,20231005,15097.2,15132.75,14988.75,15021.4,12487175
NIFTYPSUBANK,20231005,5270.45,5286.7,5160.95,5204.3,449647031
NIFTYREALTY,20231005,571.55,577.8,566.55,569.95,13135111
NIFTYCONSUMPTION,20231005,8441,8453.15,8413.95,8448.2,51459347
NIFTYCOMMODITIES,20231005,6367.55,6379.85,6323.5,6339.75,137747103
Nifty Dividend Opportunities 50,20231005,4582,4590.5,4556.9,4570.2,367506947
NIFTYINFRA,20231005,6192.1,6218.3,6176.15,6209.55,133663553
NIFTYPSE,20231005,5895.4,5915.6,5842.2,5863.1,216615604
NIFTYSERVSECTOR,20231005,25045.55,25171.1,25027.4,25077.9,159207489
Nifty50 Shariah,20231005,-,-,-,4174.72,77330552
Nifty500 Shariah,20231005,-,-,-,5720.1,529205587
Nifty Low Volatility 50,20231005,-,-,-,18198.76,170313000
Nifty Alpha 50,20231005,36433.2,36555.9,36061.55,36124.2,703966039
Nifty High Beta 50,20231005,-,-,-,2892.18,847696739
