TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME, OI
20MICRONS,20231005, 152.80, 154.45, 148.00, 154.45, 302197, -
21STCENMGM,20231005, 19.25, 19.60, 19.10, 19.50, 2800, 1630
360ONE,20231005, 496.00, 500.00, 487.55, 493.95, 379048, 277303
3IINFOLTD,20231005, 41.45, 41.95, 40.65, 41.00, 684532, 278155
3MINDIA,20231005, 31328.00, 31328.00, 30464.50, 30904.35, 3267, 1942
3PLAND,20231005, 30.30, 30.45, 29.00, 30.45, 67870, 45696
5PAISA,20231005, 415.85, 435.00, 415.85, 429.55, 57678, 19220
63MOONS,20231005, 269.00, 273.95, 267.40, 271.00, 45960, 24788
A2ZINFRA,20231005, 9.70, 9.85, 9.50, 9.70, 111477, -
AAATECH,20231005, 57.45, 58.70, 57.05, 57.95, 22972, 10446
AAKASH,20231005, 5.90, 5.90, 5.90, 5.90, 48643, -
AAREYDRUGS,20231005, 46.00, 47.80, 44.60, 46.65, 54600, -
AARON,20231005, 282.90, 282.90, 270.00, 271.75, 4840, -
AARTECH,20231005, 174.10, 174.10, 160.60, 166.65, 6535, -
AARTIDRUGS,20231005, 530.00, 532.40, 516.95, 520.05, 246653, 162096
AARTIIND,20231005, 489.20, 491.35, 485.25, 487.25, 518702, 194724
AARTIPHARM,20231005, 440.95, 448.50, 428.80, 430.80, 138867, 82725
AARTIPP,20231005, 306.50, 306.55, 298.00, 300.70, 13, 7
AARTISURF,20231005, 630.00, 639.45, 630.00, 631.35, 3222, 1694
AARVEEDEN,20231005, 22.75, 23.95, 22.60, 23.40, 16787, 9089
AARVI,20231005, 126.35, 127.20, 124.50, 127.00, 10411, 7268
AATMAJ,20231005, 44.00, 46.00, 44.00, 46.00, 26000, 22000
AAVAS,20231005, 1790.00, 1790.05, 1740.50, 1746.90, 179234, 137448
ABAN,20231005, 45.85, 46.40, 45.40, 45.60, 87151, 44051
ABB,20231005, 4032.00, 4107.15, 3997.50, 4067.80, 310894, 163512
ABBOTINDIA,20231005, 22948.00, 22999.90, 22750.05, 22861.95, 3094, 1049
ABCAPITAL,20231005, 176.40, 177.85, 175.00, 175.75, 1279896, 413272
ABFRL,20231005, 215.00, 220.60, 214.50, 219.10, 2920099, 1107068
ABMINTLLTD,20231005, 36.00, 36.00, 36.00, 36.00, 90, -
ABSLAMC,20231005, 438.95, 441.70, 435.00, 437.10, 57160, 33716
ABSLLIQUID,20231005, 1000.00, 1000.01, 1000.00, 1000.01, 548, 548
ACC,20231005, 2007.00, 2025.45, 1993.20, 1997.25, 180497, 94751
ACCELYA,20231005, 1665.00, 1673.30, 1619.05, 1637.95, 43976, 20723
ACCURACY,20231005, 8.25, 8.45, 8.00, 8.10, 545914, -
ACE,20231005, 703.00, 713.40, 685.00, 690.00, 318506, 155446
ACEINTEG,20231005, 35.45, 36.75, 34.75, 34.85, 1115, 941
ACI,20231005, 608.10, 612.50, 595.20, 599.10, 90209, 43491
ACL,20231005, 98.10, 98.10, 95.15, 97.00, 16810, 13920
ADANIENSOL,20231005, 812.50, 815.50, 805.30, 807.70, 252701, 104311
ADANIENT,20231005, 2477.95, 2486.50, 2446.40, 2466.35, 1132455, 227392
ADANIGREEN,20231005, 978.95, 982.10, 955.00, 959.65, 451208, 243224
ADANIPORTS,20231005, 830.85, 832.00, 820.25, 825.20, 2083505, 779555
ADANIPOWER,20231005, 373.40, 376.00, 364.10, 365.85, 2382554, 1034710
ADFFOODS,20231005, 211.00, 213.05, 208.55, 211.40, 59491, 29359
ADL,20231005, 76.00, 78.50, 75.00, 78.00, 1987, -
ADORWELD,20231005, 1117.00, 1126.15, 1105.00, 1109.90, 6480, 3530
ADROITINFO,20231005, 25.20, 25.20, 22.70, 22.95, 167141, 100704
ADSL,20231005, 125.00, 128.75, 125.00, 126.60, 178059, 73286
ADVANIHOTR,20231005, 96.60, 99.80, 95.80, 97.20, 503780, 292103
ADVENZYMES,20231005, 313.55, 332.00, 313.55, 327.35, 282444, 117751
AEGISCHEM,20231005, 327.65, 332.65, 321.10, 329.70, 1097966, 948115
AEROFLEX,20231005, 149.60, 151.10, 146.50, 146.95, 530731, 304842
AETHER,20231005, 960.00, 968.80, 959.05, 964.70, 103422, 94218
AFFLE,20231005, 1100.00, 1115.00, 1088.10, 1090.90, 87068, 44238
AGARIND,20231005, 879.90, 894.95, 874.45, 883.65, 32070, 14309
AGI,20231005, 913.25, 976.65, 913.25, 928.70, 745655, 156416
AGNI,20231005, 25.60, 26.30, 25.60, 26.30, 20000, 15000
AGRITECH,20231005, 180.00, 188.00, 177.50, 180.10, 14081, -
AGROPHOS,20231005, 39.00, 39.15, 38.05, 38.30, 36541, 24496
AGSTRA,20231005, 62.70, 62.70, 61.65, 61.90, 96171, 61866
AHL,20231005, 344.50, 348.00, 343.85, 345.10, 644747, 109029
AHLADA,20231005, 116.80, 119.80, 108.25, 111.00, 195722, 89256
AHLEAST,20231005, 137.80, 139.40, 134.50, 137.30, 8028, 4670
AHLUCONT,20231005, 703.35, 725.95, 700.10, 709.00, 42744, 18390
AIAENG,20231005, 3509.95, 3560.00, 3446.20, 3456.55, 68416, 45648
AILIMITED,20231005, 31.55, 31.55, 31.55, 31.55, 6000, 6000
AIRAN,20231005, 25.35, 25.50, 24.30, 24.55, 161138, -
AIROLAM,20231005, 112.45, 118.00, 111.00, 114.25, 6679, -
AJANTPHARM,20231005, 1784.10, 1797.60, 1751.00, 1758.55, 200270, 161946
AJMERA,20231005, 375.25, 377.65, 370.65, 373.50, 44049, 24598
AJOONI,20231005, 4.40, 4.50, 4.40, 4.50, 188549, 127598
AKASH,20231005, 31.95, 31.95, 30.25, 30.55, 20101, 9592
AKG,20231005, 23.50, 23.85, 23.00, 23.20, 35754, 6117
AKI,20231005, 12.20, 12.20, 12.20, 12.20, 13861, -
AKSHAR,20231005, 6.35, 6.35, 6.10, 6.25, 11352, -
AKSHARCHEM,20231005, 279.35, 281.55, 276.05, 277.60, 4709, 3028
AKSHOPTFBR,20231005, 11.25, 11.45, 11.00, 11.10, 395404, -
