TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
NIFTY Midcap150 Quality 50,20231006,18866.35,18882.75,18810.8,18863.25,15046867
Nifty200 Momentum 30,20231006,22955.35,23070.85,22878.3,23041.6,177042447
Nifty India Manufacturing,20231006,9678.6,9688.75,9652.4,9671.45,112748319
Nifty100 ESG Sector Leaders,20231006,3206.65,3217.5,3199.3,3214.4,116144427
Nifty200 Alpha 30,20231006,-,-,-,17366.9,222140383
Nifty Midcap150 Momentum 50,20231006,-,-,-,41697.52,270188179
Nifty Smallcap250 Quality 50,20231006,-,-,-,19715.55,57176481
NIFTY100 ESG,20231006,3729.4,3745.6,3723.9,3741.75,285260671
NIFTY100 Enhanced ESG,20231006,-,-,-,3772.46,260021178
NIFTY50 Equal Weight,20231006,23414.85,23503.8,23383.25,23480.1,159051277
Nifty 50 Futures Index,20231006,-,-,-,5819.55,-
Nifty 50 Arbitrage,20231006,-,-,-,2219.75,-
Nifty Aditya Birla Group,20231006,-,-,-,6074.22,131494467
Nifty 8-13 yr G-Sec,20231006,2472.55,2472.56,2449.27,2452.05,-
Nifty 4-8 yr G-Sec Index,20231006,2684.6,2684.6,2667.97,2668.91,-
Nifty 11-15 yr G-Sec Index,20231006,2709.54,2709.85,2681.16,2682.24,-
Nifty 15 yr and above G-Sec Index,20231006,2948.13,2948.13,2904.63,2907.0,-
Nifty Composite G-sec Index,20231006,2549.4,2549.41,2527.53,2529.42,-
Nifty 10 yr Benchmark G-Sec,20231006,2190.97,2191.03,2168.64,2172.3,-
Nifty 10 yr Benchmark G-Sec (Clean Price),20231006,867.98,868.01,859.04,860.51,-
Nifty 1D Rate Index,20231006,-,-,-,2188.05,-
Nifty50 USD,20231006,-,-,-,8180.24,-
