TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
500009,20231009,39.69,41.31,39.69,41.31,544244
500012,20231009,75.61,75.96,73.90,74.27,112319
500013,20231009,14.40,14.40,14.30,14.30,17030
500014,20231009,6.10,6.22,5.76,5.88,54765
500016,20231009,16.53,16.53,14.85,14.93,26059
500028,20231009,15.13,15.13,15.13,15.13,99259
500039,20231009,475.00,494.55,473.85,476.95,41062
500041,20231009,2625.60,2625.60,2536.90,2542.85,214
500048,20231009,2361.20,2386.95,2281.00,2294.85,20408
500049,20231009,137.65,137.65,135.05,135.70,291430
500052,20231009,90.55,92.75,89.55,90.40,25702
500058,20231009,10.86,11.10,10.66,10.86,41689
500059,20231009,15.00,15.00,15.00,15.00,2377
500068,20231009,13801.20,14000.00,13351.55,13623.40,189
500069,20231009,253.05,269.60,251.10,266.50,376
500074,20231009,81.01,82.00,74.35,75.98,36885
500083,20231009,16.40,16.40,15.77,15.79,84984
500104,20231009,253.85,253.85,249.15,251.75,82261
500106,20231009,23.92,24.12,22.50,22.70,7273396
500108,20231009,28.64,28.75,27.40,27.68,704807
500111,20231009,9.84,9.84,9.84,9.84,24623
500112,20231009,588.75,588.75,581.60,585.00,220637
500113,20231009,88.39,88.39,86.01,86.41,565057
500116,20231009,68.20,68.56,65.82,66.79,1651046
500120,20231009,521.00,531.30,509.45,515.20,4661
500123,20231009,7804.10,7998.00,7717.75,7893.95,544
500142,20231009,5.77,5.77,5.77,5.77,2849
500143,20231009,68.01,72.80,68.00,72.50,937
500147,20231009,2801.00,2850.00,2786.00,2793.20,1092
500148,20231009,443.90,443.90,430.30,434.10,12964
500150,20231009,3320.35,3371.60,3320.35,3360.00,31
500153,20231009,145.25,150.10,145.25,148.10,9993
500159,20231009,92.25,92.50,87.00,89.50,4594
500165,20231009,306.00,319.80,306.00,315.85,29867
500166,20231009,199.00,199.00,194.00,194.80,3863
500170,20231009,32.00,34.11,32.00,34.06,8486
500174,20231009,3.61,3.95,3.61,3.79,512
500179,20231009,16.21,16.21,15.55,15.69,97822
500185,20231009,27.60,28.19,26.85,27.15,4292609
500186,20231009,162.20,168.75,162.20,163.50,207202
500188,20231009,302.00,314.40,300.00,311.80,146997
500189,20231009,136.00,147.00,133.70,139.00,1398
500191,20231009,58.71,58.71,58.71,58.71,4001
500192,20231009,2.95,2.95,2.90,2.91,3599
500199,20231009,513.95,516.75,499.00,505.70,1139
500201,20231009,700.00,711.40,692.55,695.50,7748
500206,20231009,36.85,36.85,34.01,35.13,12495
500209,20231009,1459.05,1491.00,1459.05,1474.60,167685
500210,20231009,2900.00,2997.55,2877.10,2893.95,1120
500213,20231009,404.90,405.00,380.70,399.75,15986
500215,20231009,837.95,838.00,815.00,825.45,101
500219,20231009,64.64,64.64,61.22,61.47,642680
500223,20231009,2.91,2.94,2.86,2.86,1128201
500227,20231009,682.00,692.00,668.95,678.35,2660
500228,20231009,751.30,761.05,749.30,757.10,52378
