TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
IBULHSGFIN-I,20231005,172.55,175.35,168,170.65,374,56584500
IBULHSGFIN-II,20231005,0,0,0,172.7,0,2820300
IBULHSGFIN-III,20231005,0,0,0,185.25,0,51000
ICICIBANK-I,20231005,939.75,947.2,937.95,943,23495,96784800
ICICIBANK-II,20231005,946,953.9,944.1,949.7,483,1979600
ICICIBANK-III,20231005,955,960,955,956.4,61,121100
ICICIGI-I,20231005,1284.55,1319.25,1284.55,1303.25,732,2903500
ICICIGI-II,20231005,1318.3,1320.45,1308.4,1308.4,10,30000
ICICIGI-III,20231005,1328,1328,1328,1328,1,1500
ICICIPRULI-I,20231005,556.75,560.95,552.35,554.05,907,6793500
ICICIPRULI-II,20231005,560.2,560.2,556.25,557,7,58500
ICICIPRULI-III,20231005,0,0,0,576.35,0,0
IDEA-I,20231005,11.55,11.65,11.1,11.35,4016,1463680000
IDEA-II,20231005,11.7,11.7,11.25,11.45,379,49200000
IDEA-III,20231005,11.75,11.75,11.3,11.55,53,5440000
IDFC-I,20231005,124.85,125.75,123.5,124.2,887,86890000
IDFC-II,20231005,125.85,126.7,124.55,125.15,42,3620000
IDFC-III,20231005,126,126,126,126,1,70000
IDFCFIRSTB-I,20231005,91.5,91.85,90.25,90.85,3651,275985000
IDFCFIRSTB-II,20231005,90.65,91.05,89.75,90.15,334,26475000
IDFCFIRSTB-III,20231005,90.35,90.55,89.35,89.8,115,3570000
IEX-I,20231005,132.4,135.75,131.3,133.7,4514,59808750
IEX-II,20231005,132.95,136.5,132.65,134.6,420,2392500
IEX-III,20231005,134,137.2,134,135.5,43,146250
IGL-I,20231005,460.3,462.25,453.65,459.2,1900,12084875
IGL-II,20231005,462.3,463.6,456.1,461.55,68,224125
IGL-III,20231005,461.9,465,461.9,464,3,5500
INDHOTEL-I,20231005,410,421.35,408.95,419.5,4087,19650000
INDHOTEL-II,20231005,411.55,424,411.5,422.25,185,472000
