TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME,OI
BANKNIFTY-I,20231009,44205,44287.95,43935,44010.45,122934,2565675
BANKNIFTY-II,20231009,44499.85,44600.35,44231.05,44299,6758,191745
BANKNIFTY-III,20231009,44730.2,44741.85,44481.35,44535.45,1935,29670
FINNIFTY-I,20231009,19831.6,19831.6,19654.6,19674.8,1974,68400
FINNIFTY-II,20231009,19860,19897.35,19757.2,19791.2,35,1280
FINNIFTY-III,20231009,19925.05,19925.05,19656.7,19772.25,8,480
MIDCPNIFTY-I,20231009,9043.85,9043.85,8933.3,8970.1,4112,389025
MIDCPNIFTY-II,20231009,8950.05,8994.05,8950,8964,30,4275
MIDCPNIFTY-III,20231009,8969.95,9100.4,8960,8989.95,9,825
NIFTY-I,20231009,19590.1,19616.8,19505.9,19539.15,105864,10478550
NIFTY-II,20231009,19699.95,19744.9,19627.8,19655.65,6943,964450
NIFTY-III,20231009,19813.6,19842,19742,19768.2,3037,210700
AARTIIND-I,20231009,484.7,484.7,473,474.1,2845,14047000
AARTIIND-II,20231009,489,489,476.15,477.45,461,926000
AARTIIND-III,20231009,487.45,489.6,480,481.2,119,246000
ABB-I,20231009,4124.75,4128.95,4060,4099.8,848,1317250
ABB-II,20231009,4116.85,4144.8,4097.75,4124.4,25,28000
ABB-III,20231009,4170,4170,4154.05,4155,3,1000
ABBOTINDIA-I,20231009,22910.2,23166.4,22850,22987.25,467,74480
ABBOTINDIA-II,20231009,23170.45,23170.45,23093.1,23093.1,4,1120
ABBOTINDIA-III,20231009,0,0,0,22774.15,0,0
ABCAPITAL-I,20231009,181.4,181.4,175,175.45,1623,39927600
ABCAPITAL-II,20231009,181.9,181.9,176.25,176.55,99,950400
ABCAPITAL-III,20231009,177.9,178.35,177.3,177.3,4,59400
ABFRL-I,20231009,215,216.4,212.75,215.5,2023,29429400
ABFRL-II,20231009,215.15,216.3,210.55,215.4,259,1380600
ABFRL-III,20231009,214.1,216.75,214.1,215.7,8,49400
ACC-I,20231009,2000.1,2006.45,1961,1971,2800,5901900
ACC-II,20231009,2000,2018,1975.8,1983.5,97,42000
ACC-III,20231009,2028.2,2028.8,1990,1994.6,11,4800
ADANIENT-I,20231009,2449,2470,2422.65,2453,6827,9355200
ADANIENT-II,20231009,2454.2,2483.2,2442.95,2470.25,161,203700
ADANIENT-III,20231009,2469.4,2489.3,2460,2484,14,11400
ADANIPORTS-I,20231009,823.95,823.95,785.65,791.5,14261,54184000
ADANIPORTS-II,20231009,821.1,821.1,792,797,849,667200
ADANIPORTS-III,20231009,822.25,825,799.95,802.9,87,52800
ALKEM-I,20231009,3512,3562.8,3499.95,3556.7,667,820600
ALKEM-II,20231009,3550.05,3582.15,3545,3579.35,14,13400
ALKEM-III,20231009,0,0,0,3552.2,0,200
AMBUJACEM-I,20231009,433,438.5,428.3,431,4435,62262000
AMBUJACEM-II,20231009,434.4,441.5,432,433.4,129,1000800
AMBUJACEM-III,20231009,439.65,440.4,437.45,437.45,8,18000
APOLLOHOSP-I,20231009,5040.75,5084,5021.4,5055.8,1424,2340250
APOLLOHOSP-II,20231009,5082,5110,5070,5094.05,34,16250
APOLLOHOSP-III,20231009,0,0,0,5147.85,0,375
APOLLOTYRE-I,20231009,376.5,378,369,371.85,3213,10271400
APOLLOTYRE-II,20231009,375.75,375.75,370.3,372.45,206,351900
APOLLOTYRE-III,20231009,373,375.45,372,373.8,20,22100
ASHOKLEY-I,20231009,170.85,173.45,168.8,172.15,3413,79340000
ASHOKLEY-II,20231009,172,174.65,169.8,173.3,265,2250000
ASHOKLEY-III,20231009,172,175.1,171.6,174.6,26,270000
ASIANPAINT-I,20231009,3149,3176,3141.4,3165.95,4510,5748800
ASIANPAINT-II,20231009,3166,3191.95,3158.95,3183.7,216,89800
ASIANPAINT-III,20231009,3200,3210,3190.65,3199,34,10400
ASTRAL-I,20231009,1884.5,1889.8,1859.15,1865.75,1761,3126840
