TICKERCODE, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
500009,20231005,39.72,39.72,39.72,39.72,100802
500012,20231005,81.48,81.50,78.10,78.51,87590
500014,20231005,6.07,6.21,5.80,6.05,38937
500016,20231005,16.32,16.94,15.47,16.00,12249
500028,20231005,15.13,15.13,15.13,15.13,42100
500039,20231005,506.80,507.55,496.60,499.00,16946
500041,20231005,2628.95,2628.95,2571.20,2583.60,364
500048,20231005,2306.60,2375.00,2305.00,2313.05,5947
500049,20231005,139.25,141.35,138.20,138.95,388353
500052,20231005,88.05,94.35,88.05,93.50,141005
500058,20231005,11.49,11.49,10.61,11.39,111066
500059,20231005,15.26,15.26,15.26,15.26,17278
500068,20231005,14059.95,14175.05,13716.00,14000.00,76
500069,20231005,274.40,274.40,265.55,270.00,213
500074,20231005,80.60,81.88,79.50,79.97,33341
500083,20231005,16.99,17.20,16.53,16.59,72821
500104,20231005,255.10,260.60,252.20,253.65,284051
500106,20231005,23.97,24.25,22.63,23.24,7619208
500108,20231005,30.01,30.60,29.27,29.56,492858
500112,20231005,590.85,594.40,587.25,592.25,235839
500113,20231005,89.54,90.12,88.50,88.62,1104699
500116,20231005,70.19,70.59,68.31,68.56,562120
500120,20231005,535.60,540.00,523.75,526.70,2818
500123,20231005,7998.00,8124.00,7862.00,8062.25,983
500142,20231005,6.07,6.07,6.07,6.07,101
500143,20231005,72.90,72.90,69.50,69.50,166
500147,20231005,2800.00,2838.00,2781.10,2791.05,1251
500148,20231005,452.00,452.00,441.00,445.10,5927
500150,20231005,3398.10,3398.10,3339.50,3349.25,58
500153,20231005,148.70,151.45,148.70,150.75,21500
500159,20231005,91.74,91.74,88.50,90.24,10425
500165,20231005,327.00,327.00,322.05,323.50,12755
500166,20231005,199.75,202.70,196.00,199.25,9735
500170,20231005,32.20,32.20,32.11,32.11,2047
500174,20231005,3.36,3.70,3.36,3.70,4446
500179,20231005,16.06,16.60,16.00,16.30,96407
500185,20231005,27.35,27.99,26.88,27.76,3556236
500186,20231005,163.20,164.55,159.95,163.35,122831
500188,20231005,305.95,307.40,302.60,304.80,26278
500189,20231005,147.00,147.00,140.50,146.30,3250
500191,20231005,53.26,53.26,53.26,53.26,8058
500192,20231005,3.09,3.09,2.86,2.95,8533
500199,20231005,530.25,530.55,521.30,523.30,2086
500201,20231005,701.35,709.50,698.85,701.70,1844
500202,20231005,7.21,7.21,7.21,7.21,11
500206,20231005,28.99,33.78,28.85,31.93,15815
500209,20231005,1452.10,1474.95,1452.10,1462.45,341800
500210,20231005,2855.00,2873.60,2823.95,2867.95,873
500213,20231005,365.00,384.00,363.00,378.25,16750
500215,20231005,822.90,824.00,806.00,812.20,22
500219,20231005,62.00,64.26,61.50,63.27,663828
500220,20231005,332.35,332.35,332.35,332.35,103605
500223,20231005,3.00,3.11,2.83,3.04,3983455
500227,20231005,676.95,694.80,666.10,688.55,5324
500228,20231005,760.00,761.00,753.00,755.70,25827
500231,20231005,71.81,74.73,70.81,71.30,6690
500233,20231005,1358.95,1358.95,1324.10,1328.00,4897
500234,20231005,220.00,223.10,217.95,221.65,2758
500235,20231005,521.20,525.45,488.35,491.45,20362
500236,20231005,1.45,1.52,1.45,1.46,491
500239,20231005,29.45,31.95,28.35,29.75,10021
500240,20231005,139.75,139.80,137.15,139.25,10546
500241,20231005,845.00,888.00,836.00,883.65,5921
500243,20231005,3137.55,3150.00,3124.05,3132.70,4
500245,20231005,470.05,479.10,465.00,466.55,6504
500246,20231005,233.70,233.70,233.70,233.70,2207
500247,20231005,1730.00,1746.50,1721.60,1734.10,41834
500248,20231005,4.49,4.49,4.40,4.40,107
500250,20231005,1078.95,1078.95,1021.90,1048.10,3063
500251,20231005,2062.75,2062.75,2031.70,2046.55,9092
500253,20231005,470.00,474.20,465.50,470.90,51285
500257,20231005,1172.70,1172.70,1143.00,1148.45,10917
500262,20231005,7.93,7.93,7.93,7.93,200
500264,20231005,158.70,163.50,156.00,163.50,237523
500265,20231005,605.00,620.00,602.40,606.60,8009
500266,20231005,7428.65,7644.95,7428.65,7529.40,235
500267,20231005,184.10,188.00,183.65,186.70,3009
500268,20231005,65.35,68.00,64.94,67.68,115395
500270,20231005,168.50,173.30,168.50,170.45,2735
500277,20231005,8.49,8.49,7.87,8.47,6995
500279,20231005,18.70,19.99,18.65,18.93,220112
500280,20231005,421.85,424.40,420.30,420.60,699
500284,20231005,164.20,164.20,162.55,162.95,368
500285,20231005,35.90,36.07,34.45,34.78,1231092
500288,20231005,36.41,36.90,36.01,36.23,107632
500290,20231005,107630.00,107686.70,106685.40,106746.30,146
500292,20231005,190.90,198.25,189.60,194.90,152852
500296,20231005,260.15,262.05,256.35,258.75,2354
500298,20231005,1160.35,1160.35,1160.35,1160.35,2139
500304,20231005,119.40,123.60,119.25,120.45,56920
500306,20231005,71.13,72.50,71.13,72.32,12805
500307,20231005,410.05,414.65,410.00,410.25,1333
500312,20231005,181.45,184.00,181.15,182.15,260219
500313,20231005,23.24,23.42,23.00,23.42,42880
500314,20231005,89.89,89.89,86.05,86.81,29106
500317,20231005,35.74,35.74,33.85,34.93,71052
500319,20231005,92.00,93.20,89.20,90.75,32502
500322,20231005,12.47,12.47,12.47,12.47,314
500331,20231005,2430.00,2437.40,2420.00,2429.00,11483
500336,20231005,949.80,970.05,936.45,968.00,8119
500337,20231005,147.55,151.95,147.55,148.70,2087
500346,20231005,45.00,47.80,44.50,45.51,16710
500350,20231005,190.15,191.00,187.95,189.60,2607
