TICKER, DATE, OPEN, HIGH, LOW, CLOSE, VOLUME
A.SARABHAI  ,20231006,38.93,40.51,38.93,40.50,294983
ANDHRA PETRO,20231006,79.89,79.89,77.21,77.34,63178
UTIQUE      ,20231006,6.24,6.24,5.97,6.15,17303
ARUNAHTEL   ,20231006,16.66,16.66,15.75,15.87,19464
ATV PROJECTS,20231006,15.43,15.43,15.43,15.43,99973
BANCO PROD. ,20231006,499.05,507.85,497.80,501.55,8617
BANNARI AMAN,20231006,2596.60,2596.60,2565.00,2573.05,273
BEML LTD    ,20231006,2315.05,2350.00,2280.00,2333.85,10143
BHARAT ELECT,20231006,139.40,140.40,138.50,138.95,383013
BHANSALI ENG,20231006,93.81,94.40,92.30,93.24,29999
BIHAR SPONGE,20231006,11.50,11.60,10.95,11.12,142459
BINANI IND. ,20231006,14.99,14.99,14.96,14.96,2710
DISA INDIA  ,20231006,13849.95,14163.95,13723.00,13801.20,46
QUESTCAP    ,20231006,260.05,266.00,260.05,262.45,589
BPL LTD.    ,20231006,81.48,83.50,80.65,82.13,14944
CENTURY EXT ,20231006,16.89,16.89,16.40,16.60,22669
HIND.PETRO  ,20231006,256.60,259.30,253.05,257.65,228765
IFCI LTD    ,20231006,24.14,24.66,22.95,24.51,8444881
MAHA.TELE   ,20231006,29.84,29.87,28.50,28.87,810182
STATE BANK  ,20231006,594.00,598.90,592.25,594.10,607912
STEEL AUTH. ,20231006,89.76,90.30,88.70,88.80,614508
IDBI BANK L ,20231006,69.49,69.90,68.30,69.76,670556
DIAMINES&CHM,20231006,535.15,535.15,522.85,529.75,3886
ELANTAS     ,20231006,8199.95,8200.00,7787.70,7849.90,1262
FGP LTD.    ,20231006,5.77,6.07,5.77,6.07,673
P.H.CAPITAL ,20231006,70.00,72.50,70.00,70.50,506
COCKERILL   ,20231006,2835.00,2878.00,2818.25,2844.75,1415
UFLEX LTD   ,20231006,450.95,450.95,442.20,444.65,8525
FOSECO INDIA,20231006,3370.00,3403.10,3352.00,3388.10,199
GANESH BENZO,20231006,150.00,151.80,149.00,151.25,7773
METROGLOBL  ,20231006,91.99,92.90,91.00,92.27,7511
KANSAI NERO ,20231006,325.95,326.50,322.95,323.90,14535
GOODRICKE   ,20231006,199.95,202.10,197.40,199.35,9549
GTN INDUS   ,20231006,32.10,32.49,31.71,32.49,8928
GUJ.LEASE   ,20231006,3.88,3.88,3.53,3.80,2504
HCL INFOSYS ,20231006,16.12,16.49,16.10,16.22,33977
