Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
949858,Kotak Mahindra Prime Limited,0KMPL2017A,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BS4, ,Debentures and Bonds,-,-,-,-
949859,Volkswagen Finance Private Limited,972VWFPL16,Volkswagen Finance Pvt Ltd,Delisted,F ,1000000,INE851M07069, ,Debentures and Bonds,-,-,-,-
949860,Volkswagen Finance Private Limited,978VWFPL17,Volkswagen Finance Pvt Ltd,Delisted,F ,1000000,INE851M07051, ,Debentures and Bonds,-,-,-,-
949861,IL&FS Financial Services Limited,990ILFS2019,IL&FS Financial Services Ltd,Delisted,F ,1000,INE121H07992, ,Debentures and Bonds,-,-,-,-
949862,JM FINANCIAL PRODUCTS LIMITED,0JMFPL2015C,JM FINANCIAL PRODUCTS Ltd,Delisted,F ,1000000,INE523H07213, ,Debentures and Bonds,-,-,-,-
949863,ECL Finance Limited,2555ECL2016,ECL Finance Ltd,Delisted,F ,100000,INE804I07SL6, ,Debentures and Bonds,-,-,-,-
949864,ECL Finance Limited,ECLB7A301,ECL Finance Ltd,Delisted,F ,100000,INE804I07SK8, ,Debentures and Bonds,-,-,-,-
949865,ECL Finance Limited,ECLC7A401,ECL Finance Ltd,Delisted,F ,100000,INE804I07SM4, ,Debentures and Bonds,-,-,-,-
949866,Kotak Mahindra Prime Limited,98664KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BR6, ,Debentures and Bonds,-,-,-,-
949867,Kotak Mahindra Prime Limited,98881KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BO3, ,Debentures and Bonds,-,-,-,-
949868,Kotak Mahindra Prime Limited,98710KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BP0, ,Debentures and Bonds,-,-,-,-
949869,Kotak Mahindra Prime Limited,98808KMPL15,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BQ8, ,Debentures and Bonds,-,-,-,-
949870,Kotak Mahindra Prime Limited,0KMPL2017D,Kotak Mahindra Prime Ltd,Delisted,F ,1000000,INE916DA7BT2, ,Debentures and Bonds,-,-,-,-
949871,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015A,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08510, ,Debentures and Bonds,-,-,-,-
949872,ICICI HOME FINANCE COMPANY LIMITED,0IHFC2015B,ICICI HOME FINANCE COMPANY Ltd,Delisted,F ,1000000,INE071G08502, ,Debentures and Bonds,-,-,-,-
949873,Bajaj Finance Limited,990BFL2019,Bajaj Finance Ltd,Delisted,F ,1000000,INE296A07971, ,Debentures and Bonds,-,-,-,-
949874,Reliance Home Finance Limited,990RHFL2017,Reliance Home Finance Ltd,Delisted,F ,1000000,INE217K07232, ,Debentures and Bonds,-,-,-,-
